Minutes,LIR100_low_alarm,LIR100_lowlow_alarm,LIR100_high_alarm,LIR120_low_alarm,LIR120_lowlow_alarm,LIR120_high_alarm,PIR110_low_alarm,PIR110_high_alarm,PIR110_highhigh_alarm,PIR120_low_alarm,PIR120_high_alarm,TIR100_low_alarm,TIR100_lowlow_alarm,TIR100_high_alarm,TIR100_highhigh_alarm,TIR101_low_alarm,TIR101_high_alarm,TIR110_low_alarm,TIR110_high_alarm,TIR120_low_alarm,TIR120_high_alarm,TIR121_low_alarm,TIR121_lowlow_alarm,TIR121_high_alarm,TIR121_highhigh_alarm,TIR122_low_alarm,TIR122_lowlow_alarm,TIR122_high_alarm,TIR122_highhigh_alarm,FIR100_low_alarm,FIR100_high_alarm,FIR101_low_alarm,FIR101_high_alarm,FIR110_low_alarm,FIR110_high_alarm,FIR111_low_alarm,FIR111_high_alarm,FIR112_low_alarm,FIR112_high_alarm,FIR113_low_alarm,FIR113_high_alarm,FIR120_low_alarm,FIR120_high_alarm,FIR121_low_alarm,FIR121_high_alarm,FIR122_low_alarm,FIR122_high_alarm,FIR123_low_alarm,FIR123_high_alarm,FIR124_low_alarm,FIR124_high_alarm,FIR125_low_alarm,FIR125_high_alarm,IIR110_low_alarm,IIR110_high_alarm,IIR120_low_alarm,IIR120_high_alarm
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
