dataset,fold,repeat,method,scenario,severity,progress,score,n
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.1666667,0.390625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.3333333,0.390625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.5,0.646875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.6666667,0.890625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.8333333,0.975,3200
fcc,0,0,ACM-SVM,late_time_delay,0.0,1.0,0.978125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.1666667,0.065625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.3333333,0.065625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.5,0.128125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.6666667,0.265625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.8333333,0.39375,3200
fcc,0,0,ACM-SVM,late_time_delay,0.05,1.0,0.45,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.1666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.3333333,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.5,0.13125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.6666667,0.25,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.8333333,0.3375,3200
fcc,0,0,ACM-SVM,late_time_delay,0.1,1.0,0.38125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.1666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.3333333,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.5,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.6666667,0.140625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.8333333,0.215625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.15,1.0,0.26875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.1666667,0.065625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.3333333,0.065625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.5,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.6666667,0.10625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.8333333,0.10625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.2,1.0,0.16875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.1666667,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.3333333,0.0625,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.5,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.6666667,0.078125,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.8333333,0.096875,3200
fcc,0,0,ACM-SVM,late_time_delay,0.25,1.0,0.1375,3200
