dataset,fold,repeat,method,R_avg,R_prod,R_min,n_scenarios
fcc,0,0,ACM-SVM,0.34868589743589745,0.00077956200542755,0.15080929487179487,6
fcc,0,0,CASIM-prefix,0.5967788461538462,0.016615518899133774,0.21001602564102562,6
fcc,0,0,EAC-1NN,0.6515872061965812,0.04687339367377258,0.3177924679487179,6
fcc,0,0,JAC-1NN,0.618477564102564,0.03544148817242936,0.313056891025641,6
fcc,0,0,MBW-LR,0.620526842948718,0.02336958100683505,0.21805288461538463,6
fcc,0,0,WDI-1NN,0.40240785256410255,0.0024550512733219287,0.20619791666666668,6
fcc,1,0,ACM-SVM,0.34884548611111116,0.0007906582210096277,0.15169070512820512,6
fcc,1,0,CASIM-prefix,0.6109782318376069,0.02074722143973074,0.22518830128205128,6
fcc,1,0,EAC-1NN,0.6602597489316239,0.0508543297561973,0.3202684294871795,6
fcc,1,0,JAC-1NN,0.627711672008547,0.03812930642352952,0.3125040064102564,6
fcc,1,0,MBW-LR,0.6286631944444444,0.02635227952848001,0.22971554487179488,6
fcc,1,0,WDI-1NN,0.3861785523504273,0.0019221777447405697,0.19918669871794872,6
fcc,2,0,ACM-SVM,0.3541072382478632,0.000882967269886976,0.15544871794871795,6
fcc,2,0,CASIM-prefix,0.6078826121794871,0.019941570124821145,0.2208653846153846,6
fcc,2,0,EAC-1NN,0.6540037393162393,0.04890114321657665,0.321542467948718,6
fcc,2,0,JAC-1NN,0.6229240117521367,0.03697484342429934,0.31155048076923075,6
fcc,2,0,MBW-LR,0.623691907051282,0.0238833252458731,0.21829326923076925,6
fcc,2,0,WDI-1NN,0.37577791132478633,0.0016418010499742064,0.19302483974358975,6
fcc,3,0,ACM-SVM,0.34958867521367526,0.0008299841472969578,0.15428685897435898,6
fcc,3,0,CASIM-prefix,0.5990571581196581,0.018714467608348193,0.2205528846153846,6
fcc,3,0,EAC-1NN,0.6689730235042735,0.0562085343262849,0.32897435897435895,6
fcc,3,0,JAC-1NN,0.6329139957264958,0.041571071944084124,0.32341746794871795,6
fcc,3,0,MBW-LR,0.6308880876068376,0.026297452125753996,0.2259054487179487,6
fcc,3,0,WDI-1NN,0.4082171474358974,0.002838806333363694,0.21885416666666668,6
fcc,4,0,ACM-SVM,0.3523938301282052,0.0008888494135383852,0.1573798076923077,6
fcc,4,0,CASIM-prefix,0.6077303685897436,0.02083572944599751,0.22585737179487178,6
fcc,4,0,EAC-1NN,0.6641005608974359,0.054273622419796275,0.3321794871794872,6
fcc,4,0,JAC-1NN,0.6297923344017095,0.04091209684301736,0.3289182692307693,6
fcc,4,0,MBW-LR,0.6240444711538462,0.024103983878982643,0.2191025641025641,6
fcc,4,0,WDI-1NN,0.3982017895299146,0.0022689017709478076,0.20094551282051282,6
