dataset,fold,repeat,method,scenario,severity,progress_auc
fcc,0,0,ACM-SVM,late_time_delay,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,late_time_delay,0.05,0.228125
fcc,0,0,ACM-SVM,late_time_delay,0.1,0.2041666666666667
fcc,0,0,ACM-SVM,late_time_delay,0.15,0.13802083333333334
fcc,0,0,ACM-SVM,late_time_delay,0.2,0.0984375
fcc,0,0,ACM-SVM,late_time_delay,0.25,0.0859375
fcc,0,0,ACM-SVM,late_time_delay,0.3,0.08645833333333335
fcc,0,0,ACM-SVM,late_time_delay,0.4,0.0828125
fcc,0,0,ACM-SVM,late_time_delay,0.5,0.06979166666666667
fcc,0,0,ACM-SVM,late_time_delay,0.6,0.07083333333333335
fcc,0,0,ACM-SVM,late_time_delay,0.7,0.0703125
fcc,0,0,ACM-SVM,late_time_delay,0.8,0.07552083333333333
fcc,0,0,ACM-SVM,late_time_delay,0.9,0.078125
fcc,0,0,ACM-SVM,missing_events,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,missing_events,0.05,0.6986979166666667
fcc,0,0,ACM-SVM,missing_events,0.1,0.6328125
fcc,0,0,ACM-SVM,missing_events,0.15,0.5650520833333333
fcc,0,0,ACM-SVM,missing_events,0.2,0.488125
fcc,0,0,ACM-SVM,missing_events,0.25,0.42703125000000003
fcc,0,0,ACM-SVM,missing_events,0.3,0.36437499999999995
fcc,0,0,ACM-SVM,missing_events,0.4,0.24833333333333332
fcc,0,0,ACM-SVM,missing_events,0.5,0.17484375
fcc,0,0,ACM-SVM,missing_events,0.6,0.13213541666666667
fcc,0,0,ACM-SVM,missing_events,0.7,0.1046875
fcc,0,0,ACM-SVM,missing_events,0.8,0.08364583333333332
fcc,0,0,ACM-SVM,missing_events,0.9,0.06640625
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.6722395833333333
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.55296875
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.46322916666666664
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.3784895833333333
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.3111979166666667
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.27791666666666665
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.20395833333333332
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.16546875
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.13151041666666666
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.10942708333333333
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.08682291666666668
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.06776041666666667
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.2199479166666667
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.18838541666666667
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.13036458333333334
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.09864583333333332
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.08786458333333332
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.08723958333333333
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.08046874999999999
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.07161458333333333
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.07421875
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.06890625
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.07276041666666666
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.068125
fcc,0,0,ACM-SVM,spurious_events,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,spurious_events,0.05,0.6818229166666666
fcc,0,0,ACM-SVM,spurious_events,0.1,0.6036979166666666
fcc,0,0,ACM-SVM,spurious_events,0.15,0.5511979166666666
fcc,0,0,ACM-SVM,spurious_events,0.2,0.5029166666666667
fcc,0,0,ACM-SVM,spurious_events,0.25,0.4595833333333334
fcc,0,0,ACM-SVM,spurious_events,0.3,0.4205208333333334
fcc,0,0,ACM-SVM,spurious_events,0.4,0.3636979166666667
fcc,0,0,ACM-SVM,spurious_events,0.5,0.3144270833333333
fcc,0,0,ACM-SVM,spurious_events,0.6,0.29119791666666667
fcc,0,0,ACM-SVM,spurious_events,0.7,0.26348958333333333
fcc,0,0,ACM-SVM,spurious_events,0.8,0.23958333333333334
fcc,0,0,ACM-SVM,spurious_events,0.9,0.2271875
fcc,0,0,ACM-SVM,timing_uncertainty,0.0,0.7119791666666666
fcc,0,0,ACM-SVM,timing_uncertainty,0.05,0.7121875000000001
fcc,0,0,ACM-SVM,timing_uncertainty,0.1,0.7109375
fcc,0,0,ACM-SVM,timing_uncertainty,0.15,0.7088541666666667
fcc,0,0,ACM-SVM,timing_uncertainty,0.2,0.7061979166666666
fcc,0,0,ACM-SVM,timing_uncertainty,0.25,0.6971354166666667
fcc,0,0,ACM-SVM,timing_uncertainty,0.3,0.6954166666666667
fcc,0,0,ACM-SVM,timing_uncertainty,0.4,0.68265625
fcc,0,0,ACM-SVM,timing_uncertainty,0.5,0.6616145833333333
fcc,0,0,ACM-SVM,timing_uncertainty,0.6,0.6420312499999999
fcc,0,0,ACM-SVM,timing_uncertainty,0.7,0.6288020833333333
fcc,0,0,ACM-SVM,timing_uncertainty,0.8,0.6199479166666667
fcc,0,0,ACM-SVM,timing_uncertainty,0.9,0.5963020833333333
fcc,0,0,CASIM-prefix,late_time_delay,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,late_time_delay,0.05,0.4526041666666667
fcc,0,0,CASIM-prefix,late_time_delay,0.1,0.34218750000000003
fcc,0,0,CASIM-prefix,late_time_delay,0.15,0.20260416666666667
fcc,0,0,CASIM-prefix,late_time_delay,0.2,0.14322916666666666
fcc,0,0,CASIM-prefix,late_time_delay,0.25,0.12916666666666668
fcc,0,0,CASIM-prefix,late_time_delay,0.3,0.11927083333333333
fcc,0,0,CASIM-prefix,late_time_delay,0.4,0.10208333333333335
fcc,0,0,CASIM-prefix,late_time_delay,0.5,0.07343749999999999
fcc,0,0,CASIM-prefix,late_time_delay,0.6,0.05364583333333334
fcc,0,0,CASIM-prefix,late_time_delay,0.7,0.05520833333333333
fcc,0,0,CASIM-prefix,late_time_delay,0.8,0.07135416666666666
fcc,0,0,CASIM-prefix,late_time_delay,0.9,0.0625
fcc,0,0,CASIM-prefix,missing_events,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,missing_events,0.05,0.975625
fcc,0,0,CASIM-prefix,missing_events,0.1,0.9550520833333334
fcc,0,0,CASIM-prefix,missing_events,0.15,0.9213020833333333
fcc,0,0,CASIM-prefix,missing_events,0.2,0.8877083333333333
fcc,0,0,CASIM-prefix,missing_events,0.25,0.8471354166666667
fcc,0,0,CASIM-prefix,missing_events,0.3,0.80859375
fcc,0,0,CASIM-prefix,missing_events,0.4,0.7169270833333333
fcc,0,0,CASIM-prefix,missing_events,0.5,0.6002604166666666
fcc,0,0,CASIM-prefix,missing_events,0.6,0.48921875000000004
fcc,0,0,CASIM-prefix,missing_events,0.7,0.3740104166666667
fcc,0,0,CASIM-prefix,missing_events,0.8,0.2733333333333333
fcc,0,0,CASIM-prefix,missing_events,0.9,0.1734375
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.05,0.9708333333333333
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.1,0.9308854166666666
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.15,0.888125
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.2,0.82671875
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.25,0.7769791666666667
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.3,0.7310416666666667
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.4,0.6281770833333333
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.5,0.5118229166666667
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.6,0.4270833333333333
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.7,0.33401041666666664
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.8,0.25395833333333334
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.9,0.17223958333333333
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.05,0.44901041666666663
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.1,0.3280208333333334
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.15,0.19473958333333333
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.2,0.13161458333333334
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.25,0.11411458333333334
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.3,0.10348958333333332
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.4,0.0825
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.5,0.07437500000000001
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.6,0.06651041666666667
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.7,0.06229166666666667
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.8,0.06921875
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.9,0.07411458333333333
fcc,0,0,CASIM-prefix,spurious_events,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,spurious_events,0.05,0.9751041666666667
fcc,0,0,CASIM-prefix,spurious_events,0.1,0.9581770833333333
fcc,0,0,CASIM-prefix,spurious_events,0.15,0.9415104166666667
fcc,0,0,CASIM-prefix,spurious_events,0.2,0.9250520833333332
fcc,0,0,CASIM-prefix,spurious_events,0.25,0.9058854166666667
fcc,0,0,CASIM-prefix,spurious_events,0.3,0.88390625
fcc,0,0,CASIM-prefix,spurious_events,0.4,0.8493750000000001
fcc,0,0,CASIM-prefix,spurious_events,0.5,0.8174479166666666
fcc,0,0,CASIM-prefix,spurious_events,0.6,0.78625
fcc,0,0,CASIM-prefix,spurious_events,0.7,0.7511458333333333
fcc,0,0,CASIM-prefix,spurious_events,0.8,0.7209895833333334
fcc,0,0,CASIM-prefix,spurious_events,0.9,0.6905729166666666
fcc,0,0,CASIM-prefix,timing_uncertainty,0.0,0.9802083333333332
fcc,0,0,CASIM-prefix,timing_uncertainty,0.05,0.9803125
fcc,0,0,CASIM-prefix,timing_uncertainty,0.1,0.97953125
fcc,0,0,CASIM-prefix,timing_uncertainty,0.15,0.9792708333333332
fcc,0,0,CASIM-prefix,timing_uncertainty,0.2,0.9759895833333333
fcc,0,0,CASIM-prefix,timing_uncertainty,0.25,0.9764583333333333
fcc,0,0,CASIM-prefix,timing_uncertainty,0.3,0.9735416666666666
fcc,0,0,CASIM-prefix,timing_uncertainty,0.4,0.9657291666666666
fcc,0,0,CASIM-prefix,timing_uncertainty,0.5,0.95328125
fcc,0,0,CASIM-prefix,timing_uncertainty,0.6,0.9440624999999999
fcc,0,0,CASIM-prefix,timing_uncertainty,0.7,0.92546875
fcc,0,0,CASIM-prefix,timing_uncertainty,0.8,0.9039583333333333
fcc,0,0,CASIM-prefix,timing_uncertainty,0.9,0.8727083333333333
fcc,0,0,EAC-1NN,late_time_delay,0.0,0.9078125
fcc,0,0,EAC-1NN,late_time_delay,0.05,0.5104166666666666
fcc,0,0,EAC-1NN,late_time_delay,0.1,0.49114583333333334
fcc,0,0,EAC-1NN,late_time_delay,0.15,0.43333333333333335
fcc,0,0,EAC-1NN,late_time_delay,0.2,0.39166666666666666
fcc,0,0,EAC-1NN,late_time_delay,0.25,0.3671875
fcc,0,0,EAC-1NN,late_time_delay,0.3,0.3515625
fcc,0,0,EAC-1NN,late_time_delay,0.4,0.26666666666666666
fcc,0,0,EAC-1NN,late_time_delay,0.5,0.22812500000000002
fcc,0,0,EAC-1NN,late_time_delay,0.6,0.146875
fcc,0,0,EAC-1NN,late_time_delay,0.7,0.1421875
fcc,0,0,EAC-1NN,late_time_delay,0.8,0.17604166666666665
fcc,0,0,EAC-1NN,late_time_delay,0.9,0.13125
fcc,0,0,EAC-1NN,missing_events,0.0,0.9078125
fcc,0,0,EAC-1NN,missing_events,0.05,0.9045833333333334
fcc,0,0,EAC-1NN,missing_events,0.1,0.8965624999999999
fcc,0,0,EAC-1NN,missing_events,0.15,0.88296875
fcc,0,0,EAC-1NN,missing_events,0.2,0.8697916666666666
fcc,0,0,EAC-1NN,missing_events,0.25,0.8547916666666667
fcc,0,0,EAC-1NN,missing_events,0.3,0.8300520833333334
fcc,0,0,EAC-1NN,missing_events,0.4,0.7880729166666667
fcc,0,0,EAC-1NN,missing_events,0.5,0.7178125
fcc,0,0,EAC-1NN,missing_events,0.6,0.6419791666666667
fcc,0,0,EAC-1NN,missing_events,0.7,0.543125
fcc,0,0,EAC-1NN,missing_events,0.8,0.42234375
fcc,0,0,EAC-1NN,missing_events,0.9,0.2960416666666667
