dataset,fold,repeat,method,scenario,scenario_score
fcc,0,0,ACM-SVM,late_time_delay,0.15388621794871796
fcc,0,0,ACM-SVM,missing_events,0.3613942307692308
fcc,0,0,ACM-SVM,mixed_missing_spurious,0.31792067307692307
fcc,0,0,ACM-SVM,mixed_spurious_timing_late,0.15080929487179487
fcc,0,0,ACM-SVM,spurious_events,0.4331770833333333
fcc,0,0,ACM-SVM,timing_uncertainty,0.6749278846153846
fcc,0,0,CASIM-prefix,late_time_delay,0.21442307692307694
fcc,0,0,CASIM-prefix,missing_events,0.6925240384615384
fcc,0,0,CASIM-prefix,mixed_missing_spurious,0.6486217948717948
fcc,0,0,CASIM-prefix,mixed_spurious_timing_late,0.21001602564102562
fcc,0,0,CASIM-prefix,spurious_events,0.8604326923076923
fcc,0,0,CASIM-prefix,timing_uncertainty,0.9546554487179487
fcc,0,0,EAC-1NN,late_time_delay,0.3495592948717948
fcc,0,0,EAC-1NN,missing_events,0.7350721153846155
fcc,0,0,EAC-1NN,mixed_missing_spurious,0.7148677884615384
fcc,0,0,EAC-1NN,mixed_spurious_timing_late,0.3177924679487179
fcc,0,0,EAC-1NN,spurious_events,0.8897395833333334
fcc,0,0,EAC-1NN,timing_uncertainty,0.9024919871794872
fcc,0,0,JAC-1NN,late_time_delay,0.34050480769230773
fcc,0,0,JAC-1NN,missing_events,0.681434294871795
fcc,0,0,JAC-1NN,mixed_missing_spurious,0.6733133012820514
fcc,0,0,JAC-1NN,mixed_spurious_timing_late,0.313056891025641
fcc,0,0,JAC-1NN,spurious_events,0.8457051282051282
fcc,0,0,JAC-1NN,timing_uncertainty,0.8568509615384615
fcc,0,0,MBW-LR,late_time_delay,0.2506810897435897
fcc,0,0,MBW-LR,missing_events,0.7483012820512821
fcc,0,0,MBW-LR,mixed_missing_spurious,0.7047275641025641
fcc,0,0,MBW-LR,mixed_spurious_timing_late,0.21805288461538463
fcc,0,0,MBW-LR,spurious_events,0.8774399038461538
fcc,0,0,MBW-LR,timing_uncertainty,0.9239583333333333
fcc,0,0,WDI-1NN,late_time_delay,0.20961538461538462
fcc,0,0,WDI-1NN,missing_events,0.3938741987179487
fcc,0,0,WDI-1NN,mixed_missing_spurious,0.39279647435897436
fcc,0,0,WDI-1NN,mixed_spurious_timing_late,0.20619791666666668
fcc,0,0,WDI-1NN,spurious_events,0.5972195512820513
fcc,0,0,WDI-1NN,timing_uncertainty,0.6147435897435897
fcc,1,0,ACM-SVM,late_time_delay,0.1545272435897436
fcc,1,0,ACM-SVM,missing_events,0.36068509615384614
fcc,1,0,ACM-SVM,mixed_missing_spurious,0.3199599358974359
fcc,1,0,ACM-SVM,mixed_spurious_timing_late,0.15169070512820512
fcc,1,0,ACM-SVM,spurious_events,0.4362980769230769
fcc,1,0,ACM-SVM,timing_uncertainty,0.669911858974359
fcc,1,0,CASIM-prefix,late_time_delay,0.2326923076923077
