dataset,fold,repeat,method,scenario,severity,progress,score,n
tep,0,0,ACM-SVM,late_time_delay,0.0,0.1666667,0.465,2000
tep,0,0,ACM-SVM,late_time_delay,0.0,0.3333333,0.465,2000
tep,0,0,ACM-SVM,late_time_delay,0.0,0.5,0.645,2000
tep,0,0,ACM-SVM,late_time_delay,0.0,0.6666667,0.75,2000
tep,0,0,ACM-SVM,late_time_delay,0.0,0.8333333,0.815,2000
tep,0,0,ACM-SVM,late_time_delay,0.0,1.0,0.92,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,0.1666667,0.45,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,0.3333333,0.45,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,0.5,0.565,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,0.6666667,0.65,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,0.8333333,0.72,2000
tep,0,0,ACM-SVM,late_time_delay,0.05,1.0,0.725,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,0.1666667,0.495,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,0.3333333,0.495,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,0.5,0.59,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,0.6666667,0.67,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,0.8333333,0.71,2000
tep,0,0,ACM-SVM,late_time_delay,0.1,1.0,0.72,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,0.1666667,0.39,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,0.3333333,0.39,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,0.5,0.525,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,0.6666667,0.675,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,0.8333333,0.685,2000
tep,0,0,ACM-SVM,late_time_delay,0.15,1.0,0.7,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,0.1666667,0.4,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,0.3333333,0.4,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,0.5,0.555,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,0.6666667,0.66,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,0.8333333,0.66,2000
tep,0,0,ACM-SVM,late_time_delay,0.2,1.0,0.685,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,0.1666667,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,0.3333333,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,0.5,0.565,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,0.6666667,0.565,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,0.8333333,0.655,2000
tep,0,0,ACM-SVM,late_time_delay,0.25,1.0,0.67,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,0.1666667,0.47,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,0.3333333,0.47,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,0.5,0.585,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,0.6666667,0.585,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,0.8333333,0.655,2000
tep,0,0,ACM-SVM,late_time_delay,0.3,1.0,0.67,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,0.1666667,0.475,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,0.3333333,0.475,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,0.5,0.475,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,0.6666667,0.555,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,0.8333333,0.555,2000
tep,0,0,ACM-SVM,late_time_delay,0.4,1.0,0.615,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,0.1666667,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,0.3333333,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,0.5,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,0.6666667,0.425,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,0.8333333,0.52,2000
tep,0,0,ACM-SVM,late_time_delay,0.5,1.0,0.565,2000
tep,0,0,ACM-SVM,late_time_delay,0.6,0.1666667,0.41,2000
