dataset,fold,repeat,method,R_avg,R_prod,R_min,n_scenarios
tep,0,0,ACM-SVM,0.4511709401709402,0.0074676259332806996,0.35361538461538466,6
tep,0,0,CASIM-prefix,0.7131068376068376,0.11062374456260535,0.4899166666666667,6
tep,0,0,EAC-1NN,0.7174935897435898,0.13550548961938197,0.6654102564102563,6
tep,0,0,JAC-1NN,0.6999732905982906,0.11536211724845151,0.6502115384615385,6
tep,0,0,MBW-LR,0.6976175213675214,0.11071066120331784,0.6091474358974358,6
tep,0,0,WDI-1NN,0.5297435897435898,0.021980082268397195,0.5067435897435898,6
tep,1,0,ACM-SVM,0.4443717948717949,0.00685613464594638,0.34974358974358977,6
tep,1,0,CASIM-prefix,0.7167254273504273,0.11624057790865558,0.5002307692307693,6
tep,1,0,EAC-1NN,0.7406965811965813,0.16399428921517703,0.6903846153846154,6
tep,1,0,JAC-1NN,0.705923076923077,0.12107929618886913,0.647474358974359,6
tep,1,0,MBW-LR,0.7141698717948718,0.1271705417788205,0.6200641025641025,6
tep,1,0,WDI-1NN,0.5542895299145298,0.028771782111440457,0.525525641025641,6
tep,2,0,ACM-SVM,0.4632403846153846,0.008735957287242687,0.3570192307692307,6
tep,2,0,CASIM-prefix,0.7195779914529914,0.12124003979679854,0.5024935897435897,6
tep,2,0,EAC-1NN,0.7378878205128205,0.16038485685515003,0.6869102564102564,6
tep,2,0,JAC-1NN,0.6975149572649574,0.11250479108985705,0.6388525641025642,6
tep,2,0,MBW-LR,0.7066965811965812,0.11978280317754854,0.6253076923076922,6
tep,2,0,WDI-1NN,0.5560544871794871,0.029222921039551375,0.5238717948717949,6
tep,3,0,ACM-SVM,0.4546175213675214,0.007850416971085114,0.3545448717948718,6
tep,3,0,CASIM-prefix,0.6984444444444443,0.09845547164267603,0.4841346153846154,6
tep,3,0,EAC-1NN,0.72904594017094,0.14899140677779238,0.6740961538461538,6
tep,3,0,JAC-1NN,0.6694829059829059,0.08801214395113201,0.614275641025641,6
tep,3,0,MBW-LR,0.7106965811965812,0.1236708313409851,0.6215961538461539,6
tep,3,0,WDI-1NN,0.5661228632478632,0.0326192081826774,0.5381410256410256,6
tep,4,0,ACM-SVM,0.46273611111111107,0.008713052684532194,0.3591153846153846,6
tep,4,0,CASIM-prefix,0.7052970085470086,0.10567190037137718,0.48962820512820515,6
tep,4,0,EAC-1NN,0.7474839743589744,0.17316136363831963,0.6965769230769231,6
tep,4,0,JAC-1NN,0.6986816239316239,0.11329209326059396,0.632673076923077,6
tep,4,0,MBW-LR,0.7266784188034188,0.1413744637645231,0.6391858974358975,6
tep,4,0,WDI-1NN,0.5675587606837607,0.03307110422632436,0.530147435897436,6
