dataset,fold,repeat,method,scenario,severity,progress_auc
tep,0,0,ACM-SVM,late_time_delay,0.0,0.6766666666666667
tep,0,0,ACM-SVM,late_time_delay,0.05,0.5933333333333334
tep,0,0,ACM-SVM,late_time_delay,0.1,0.6133333333333333
tep,0,0,ACM-SVM,late_time_delay,0.15,0.5608333333333334
tep,0,0,ACM-SVM,late_time_delay,0.2,0.56
tep,0,0,ACM-SVM,late_time_delay,0.25,0.5508333333333333
tep,0,0,ACM-SVM,late_time_delay,0.3,0.5725
tep,0,0,ACM-SVM,late_time_delay,0.4,0.525
tep,0,0,ACM-SVM,late_time_delay,0.5,0.46416666666666667
tep,0,0,ACM-SVM,late_time_delay,0.6,0.43083333333333335
tep,0,0,ACM-SVM,late_time_delay,0.7,0.37999999999999995
tep,0,0,ACM-SVM,late_time_delay,0.8,0.4033333333333333
tep,0,0,ACM-SVM,late_time_delay,0.9,0.385
tep,0,0,ACM-SVM,missing_events,0.0,0.6766666666666667
tep,0,0,ACM-SVM,missing_events,0.05,0.6375833333333333
tep,0,0,ACM-SVM,missing_events,0.1,0.5859166666666668
tep,0,0,ACM-SVM,missing_events,0.15,0.5650833333333333
tep,0,0,ACM-SVM,missing_events,0.2,0.5448333333333334
tep,0,0,ACM-SVM,missing_events,0.25,0.5290833333333333
tep,0,0,ACM-SVM,missing_events,0.3,0.51425
tep,0,0,ACM-SVM,missing_events,0.4,0.47583333333333333
tep,0,0,ACM-SVM,missing_events,0.5,0.45491666666666664
tep,0,0,ACM-SVM,missing_events,0.6,0.43291666666666667
tep,0,0,ACM-SVM,missing_events,0.7,0.40791666666666665
tep,0,0,ACM-SVM,missing_events,0.8,0.38366666666666666
tep,0,0,ACM-SVM,missing_events,0.9,0.33425
tep,0,0,ACM-SVM,mixed_missing_spurious,0.0,0.6766666666666667
tep,0,0,ACM-SVM,mixed_missing_spurious,0.05,0.5425
tep,0,0,ACM-SVM,mixed_missing_spurious,0.1,0.45658333333333334
tep,0,0,ACM-SVM,mixed_missing_spurious,0.15,0.39258333333333334
tep,0,0,ACM-SVM,mixed_missing_spurious,0.2,0.3665833333333333
tep,0,0,ACM-SVM,mixed_missing_spurious,0.25,0.34608333333333335
tep,0,0,ACM-SVM,mixed_missing_spurious,0.3,0.3348333333333333
tep,0,0,ACM-SVM,mixed_missing_spurious,0.4,0.31575000000000003
tep,0,0,ACM-SVM,mixed_missing_spurious,0.5,0.302
tep,0,0,ACM-SVM,mixed_missing_spurious,0.6,0.2980833333333333
tep,0,0,ACM-SVM,mixed_missing_spurious,0.7,0.30116666666666664
tep,0,0,ACM-SVM,mixed_missing_spurious,0.8,0.317
tep,0,0,ACM-SVM,mixed_missing_spurious,0.9,0.31783333333333336
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.0,0.6766666666666667
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.05,0.50325
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.1,0.446
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.15,0.3681666666666667
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.2,0.34
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.25,0.3266666666666667
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.3,0.3065
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.4,0.297
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.5,0.26625
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.6,0.27358333333333335
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.7,0.2505833333333333
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.8,0.24783333333333335
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.9,0.2945
tep,0,0,ACM-SVM,spurious_events,0.0,0.6766666666666667
tep,0,0,ACM-SVM,spurious_events,0.05,0.56575
tep,0,0,ACM-SVM,spurious_events,0.1,0.46058333333333334
tep,0,0,ACM-SVM,spurious_events,0.15,0.408
tep,0,0,ACM-SVM,spurious_events,0.2,0.36991666666666667
tep,0,0,ACM-SVM,spurious_events,0.25,0.34375
tep,0,0,ACM-SVM,spurious_events,0.3,0.32708333333333334
tep,0,0,ACM-SVM,spurious_events,0.4,0.2886666666666667
tep,0,0,ACM-SVM,spurious_events,0.5,0.26899999999999996
tep,0,0,ACM-SVM,spurious_events,0.6,0.2559166666666667
tep,0,0,ACM-SVM,spurious_events,0.7,0.23708333333333334
tep,0,0,ACM-SVM,spurious_events,0.8,0.2325
tep,0,0,ACM-SVM,spurious_events,0.9,0.22566666666666668
tep,0,0,ACM-SVM,timing_uncertainty,0.0,0.6766666666666667
tep,0,0,ACM-SVM,timing_uncertainty,0.05,0.67725
tep,0,0,ACM-SVM,timing_uncertainty,0.1,0.6776666666666666
tep,0,0,ACM-SVM,timing_uncertainty,0.15,0.6514166666666666
tep,0,0,ACM-SVM,timing_uncertainty,0.2,0.6411666666666667
tep,0,0,ACM-SVM,timing_uncertainty,0.25,0.6136666666666667
tep,0,0,ACM-SVM,timing_uncertainty,0.3,0.6040833333333333
tep,0,0,ACM-SVM,timing_uncertainty,0.4,0.57225
tep,0,0,ACM-SVM,timing_uncertainty,0.5,0.5459999999999999
tep,0,0,ACM-SVM,timing_uncertainty,0.6,0.5294166666666666
tep,0,0,ACM-SVM,timing_uncertainty,0.7,0.5146666666666667
tep,0,0,ACM-SVM,timing_uncertainty,0.8,0.5081666666666667
tep,0,0,ACM-SVM,timing_uncertainty,0.9,0.49491666666666667
tep,0,0,CASIM-prefix,late_time_delay,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,late_time_delay,0.05,0.7333333333333334
tep,0,0,CASIM-prefix,late_time_delay,0.1,0.6900000000000001
tep,0,0,CASIM-prefix,late_time_delay,0.15,0.6333333333333333
tep,0,0,CASIM-prefix,late_time_delay,0.2,0.6124999999999999
tep,0,0,CASIM-prefix,late_time_delay,0.25,0.6033333333333334
tep,0,0,CASIM-prefix,late_time_delay,0.3,0.6041666666666666
tep,0,0,CASIM-prefix,late_time_delay,0.4,0.5066666666666667
tep,0,0,CASIM-prefix,late_time_delay,0.5,0.345
tep,0,0,CASIM-prefix,late_time_delay,0.6,0.27166666666666667
tep,0,0,CASIM-prefix,late_time_delay,0.7,0.24083333333333332
tep,0,0,CASIM-prefix,late_time_delay,0.8,0.215
tep,0,0,CASIM-prefix,late_time_delay,0.9,0.22
tep,0,0,CASIM-prefix,missing_events,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,missing_events,0.05,0.9598333333333334
tep,0,0,CASIM-prefix,missing_events,0.1,0.9405
tep,0,0,CASIM-prefix,missing_events,0.15,0.9162499999999999
tep,0,0,CASIM-prefix,missing_events,0.2,0.8914166666666666
tep,0,0,CASIM-prefix,missing_events,0.25,0.872
tep,0,0,CASIM-prefix,missing_events,0.3,0.862
tep,0,0,CASIM-prefix,missing_events,0.4,0.7844166666666667
tep,0,0,CASIM-prefix,missing_events,0.5,0.7136666666666667
tep,0,0,CASIM-prefix,missing_events,0.6,0.6293333333333333
tep,0,0,CASIM-prefix,missing_events,0.7,0.5437500000000001
tep,0,0,CASIM-prefix,missing_events,0.8,0.41491666666666666
tep,0,0,CASIM-prefix,missing_events,0.9,0.2975
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.05,0.95175
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.1,0.9196666666666666
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.15,0.88625
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.2,0.8523333333333333
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.25,0.8264999999999999
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.3,0.7984166666666667
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.4,0.74175
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.5,0.6713333333333334
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.6,0.60325
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.7,0.528
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.8,0.46599999999999997
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.9,0.35250000000000004
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.05,0.7319166666666667
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.1,0.6709166666666667
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.15,0.5981666666666666
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.2,0.5453333333333333
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.25,0.5183333333333334
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.3,0.4911666666666667
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.4,0.41450000000000004
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.5,0.37033333333333335
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.6,0.301
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.7,0.3010833333333333
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.8,0.2356666666666667
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.9,0.2205
tep,0,0,CASIM-prefix,spurious_events,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,spurious_events,0.05,0.96175
tep,0,0,CASIM-prefix,spurious_events,0.1,0.949
tep,0,0,CASIM-prefix,spurious_events,0.15,0.9350833333333334
tep,0,0,CASIM-prefix,spurious_events,0.2,0.9147500000000001
tep,0,0,CASIM-prefix,spurious_events,0.25,0.8935833333333333
tep,0,0,CASIM-prefix,spurious_events,0.3,0.8765000000000001
tep,0,0,CASIM-prefix,spurious_events,0.4,0.8376666666666667
tep,0,0,CASIM-prefix,spurious_events,0.5,0.7853333333333333
tep,0,0,CASIM-prefix,spurious_events,0.6,0.7596666666666666
tep,0,0,CASIM-prefix,spurious_events,0.7,0.7194166666666666
tep,0,0,CASIM-prefix,spurious_events,0.8,0.6824166666666667
tep,0,0,CASIM-prefix,spurious_events,0.9,0.6505
tep,0,0,CASIM-prefix,timing_uncertainty,0.0,0.9700000000000001
tep,0,0,CASIM-prefix,timing_uncertainty,0.05,0.9696666666666666
tep,0,0,CASIM-prefix,timing_uncertainty,0.1,0.968
tep,0,0,CASIM-prefix,timing_uncertainty,0.15,0.9673333333333334
tep,0,0,CASIM-prefix,timing_uncertainty,0.2,0.9645833333333332
tep,0,0,CASIM-prefix,timing_uncertainty,0.25,0.9610833333333333
tep,0,0,CASIM-prefix,timing_uncertainty,0.3,0.9574166666666667
tep,0,0,CASIM-prefix,timing_uncertainty,0.4,0.95375
tep,0,0,CASIM-prefix,timing_uncertainty,0.5,0.945
tep,0,0,CASIM-prefix,timing_uncertainty,0.6,0.9365
tep,0,0,CASIM-prefix,timing_uncertainty,0.7,0.9251666666666667
tep,0,0,CASIM-prefix,timing_uncertainty,0.8,0.907
tep,0,0,CASIM-prefix,timing_uncertainty,0.9,0.8830833333333334
tep,0,0,EAC-1NN,late_time_delay,0.0,0.7575
tep,0,0,EAC-1NN,late_time_delay,0.05,0.7599999999999999
tep,0,0,EAC-1NN,late_time_delay,0.1,0.8008333333333333
tep,0,0,EAC-1NN,late_time_delay,0.15,0.7816666666666667
tep,0,0,EAC-1NN,late_time_delay,0.2,0.7825000000000001
tep,0,0,EAC-1NN,late_time_delay,0.25,0.7875
tep,0,0,EAC-1NN,late_time_delay,0.3,0.8141666666666666
tep,0,0,EAC-1NN,late_time_delay,0.4,0.8008333333333333
tep,0,0,EAC-1NN,late_time_delay,0.5,0.7816666666666666
tep,0,0,EAC-1NN,late_time_delay,0.6,0.7733333333333333
tep,0,0,EAC-1NN,late_time_delay,0.7,0.77
tep,0,0,EAC-1NN,late_time_delay,0.8,0.7233333333333333
tep,0,0,EAC-1NN,late_time_delay,0.9,0.65
tep,0,0,EAC-1NN,missing_events,0.0,0.7575
tep,0,0,EAC-1NN,missing_events,0.05,0.7564166666666666
tep,0,0,EAC-1NN,missing_events,0.1,0.7534166666666667
tep,0,0,EAC-1NN,missing_events,0.15,0.753
tep,0,0,EAC-1NN,missing_events,0.2,0.7463333333333333
tep,0,0,EAC-1NN,missing_events,0.25,0.74225
