dataset,fold,repeat,method,scenario,scenario_score
tep,0,0,ACM-SVM,late_time_delay,0.5166025641025641
tep,0,0,ACM-SVM,missing_events,0.5033012820512821
tep,0,0,ACM-SVM,mixed_missing_spurious,0.38212820512820517
tep,0,0,ACM-SVM,mixed_spurious_timing_late,0.35361538461538466
tep,0,0,ACM-SVM,spurious_events,0.3585064102564103
tep,0,0,ACM-SVM,timing_uncertainty,0.5928717948717949
tep,0,0,CASIM-prefix,late_time_delay,0.5112179487179487
tep,0,0,CASIM-prefix,missing_events,0.7535064102564102
tep,0,0,CASIM-prefix,mixed_missing_spurious,0.7359807692307693
tep,0,0,CASIM-prefix,mixed_spurious_timing_late,0.4899166666666667
tep,0,0,CASIM-prefix,spurious_events,0.8412051282051282
tep,0,0,CASIM-prefix,timing_uncertainty,0.9468141025641026
tep,0,0,EAC-1NN,late_time_delay,0.7679487179487179
tep,0,0,EAC-1NN,missing_events,0.7034423076923078
tep,0,0,EAC-1NN,mixed_missing_spurious,0.6654102564102563
tep,0,0,EAC-1NN,mixed_spurious_timing_late,0.7061730769230768
tep,0,0,EAC-1NN,spurious_events,0.7079551282051283
tep,0,0,EAC-1NN,timing_uncertainty,0.7540320512820513
tep,0,0,JAC-1NN,late_time_delay,0.6714743589743589
tep,0,0,JAC-1NN,missing_events,0.7180320512820513
tep,0,0,JAC-1NN,mixed_missing_spurious,0.6781089743589743
tep,0,0,JAC-1NN,mixed_spurious_timing_late,0.6502115384615385
tep,0,0,JAC-1NN,spurious_events,0.6608782051282052
tep,0,0,JAC-1NN,timing_uncertainty,0.8211346153846153
tep,0,0,MBW-LR,late_time_delay,0.7505769230769231
tep,0,0,MBW-LR,missing_events,0.7496410256410256
tep,0,0,MBW-LR,mixed_missing_spurious,0.6257371794871796
tep,0,0,MBW-LR,mixed_spurious_timing_late,0.6260448717948718
tep,0,0,MBW-LR,spurious_events,0.6091474358974358
tep,0,0,MBW-LR,timing_uncertainty,0.8245576923076924
tep,0,0,WDI-1NN,late_time_delay,0.5360256410256411
tep,0,0,WDI-1NN,missing_events,0.5116858974358974
tep,0,0,WDI-1NN,mixed_missing_spurious,0.5067435897435898
tep,0,0,WDI-1NN,mixed_spurious_timing_late,0.5116410256410256
